brand,perfume,notes
bath-body-works,velvet-sugar,wild strawberry nectarine pear blossom apple whipped cream whiskey yellow plum coffee pink jasmine freesia honeysuckle sugar vanilla caramel musk amber tolu balsam
bath-body-works,wild-honeysuckle,honey melon lemon watermelon honeysuckle jasmine lily-of-the-valley freesia tuberose ylang-ylang violet rose cyclamen orange blossom cassia peach musk patchouli
bond-no-9,new-haarlem,lavender bergamot green leaves coffee cedar vanilla patchouli tonka bean amber
britney-spears,fantasy-eau-de-toilette,red litchi quince kiwi caramel white chocolate orchid jasmine orris root woody notes musk
bvlgari,pour-homme-eau-de-parfum,darjeeling tea ginger black tea guaiac wood ambrette (musk mallow) white musk
by-kilian,sophie-matisse-art-edition-good-girl-gone-bad-splash-of-neroli,neroli mandarin orange bergamot tuberose rose jasmine vetiver sandalwood patchouli
by-kilian,flower-of-immortality,white peach peach blossom nectarine iris rose black currant freesia tonka bean carrot seeds vanilla
by-kilian,smoking-hot,apple smoke cinnamon tobacco moss bourbon vanilla orcanox™
calvin-klein,ck-one-scene,ylang-ylang ginger mandarin orange ginger lily-of-the-valley rosemary spices vanilla patchouli amber musk bay leaf
carolina-herrera,bad-boy-superstars-collector-edition-2021,white pepper black pepper bergamot cedar sage cacao pod tonka bean amberwood
carolina-herrera,good-girl-supreme,forest fruits egyptian jasmine tonka bean tuberose vetiver
cartier,eau-de-cartier-essence-d-orange-limited-edition-2011,orange bergamot violet black locust fruity notes virginia cedar amber patchouli
cartier,must-de-cartier,galbanum brazilian rosewood aldehydes bergamot lemon green mandarin peach pineapple leather carnation vetiver orris root ylang-ylang musk yellow narcissus neroli rose jasmine orchid amber vanilla sandalwood tonka bean civet vetiver
chanel,egoiste,brazilian rosewood coriander mahogany sicilian mandarin cinnamon damask rose carnation sandalwood tobacco vanilla leather amber ambrette (musk mallow)
chanel,les-exclusifs-de-chanel-1932,aldehydes neroli bergamot jasmine lilac ylang-ylang rose carnation orris root musk ambrette (musk mallow) vetiver sandalwood opoponax vanila coumarin incense
chanel,n022-eau-de-parfum,aldehydes lily-of-the-valley neroli ylang-ylang tuberose jasmine rose vanilla vetiver
creed,imperatrice-eugenie,bergamot lemon italian jasmine bulgarian rose vanilla amber sandalwood
creed,original-vetiver,bergamot ginger mandarin orange haitian vetiver sandalwood iris musk ambergris
creed,aventus-10th-anniversary,pineapple bergamot black currant apple green notes pink pepper orange birch melon juniper berries rose patchouli jasmine cyclamen neroli hedione ambergris ambroxan leather vanilla musk oakmoss cedar
dior,new-look-1947,pink pepper ylang-ylang jasmine gardenia rose tuberose benzoin vanilla
dior,miss-dior-eau-de-toilette-originale,galbanum jasmine sambac patchouli
dior,midnight-poison,bergamot mandarin orange rose patchouli amber vanilla
diptyque,philosykos-eau-de-parfum-2012,fig leaf fig fig tree woody notes black pepper
dolce-gabbana,velvet-tender-oud,sweet almond damask rose rose de mai agarwood (oud) woody notes
estee-lauder,bronze-goddess-eau-fraiche-2010,mandarin orange bergamot coconut gardenia myrhh jasmine african orange flower magnolia caramel vetyver amber sandalwood
estee-lauder,youth-dew-limited-edition,rose narcissus lavender spices lily-of-the-valley jasmine moss vetiver patchouli
ex-nihilo,the-irreverents,saffron pink pepper caramel jasmine vanilla tonka bean ambergris
giorgio-armani,armani-code-ultimate,star anise grapefruit mandarin orange heliotrope olive blossom cedar cypress vanilla tonka bean guaiac wood
giorgio-armani,the-yulong,mandarin orange petitgrain cardamom green tea black tea orange blossom jasmine vetiver ambrette (musk mallow) iris
american-eagle,real,green leaves watery notes mandarin orange lemon bergamot sea notes cardamom rose orange blossom lily-of-the-valley amber vetiver sandalwood moss resins patchouli
givenchy,extravagance-d-amarige,tagetes marigold nettle green mandarin violet leaf pink pepper orange blossom strawberry wisteria jasmine strawberry cedar iris sandalwood amber
givenchy,amarige-ylang-ylang-de-mayotte-2006,neroli petitgrain ylang-ylang mimosa gardenia precious woods sandalwood amber
givenchy,givenchy-play-intense,mandarin orange bergamot coffee pink pepper amyris tonka bean patchouli vetyver french labdanum
gucci,the-heart-of-leo,black currant olibanum myrrh
guerlain,les-absolus-d-orient-santal-royal-collector,jasmine neroli rose peach cinnamon agarwood (oud) sandalwood leather amber musk
guerlain,champs-elysees-eau-de-toilette,mimosa leaves rose petals mimosa buddleia black currant almond tree woody notes hibiscus seed vanilla
guerlain,shalimar-eau-de-toilette,bergamot floral notes iris rose jasmine vanilla tonka bean
hermes,terre-d-hermes-flacon-h-2019-eau-de-toilette,orange grapefruit pepper pelargonium vetiver cedar patchouli benzoin
issey-miyake,l-eau-d-issey-une-goutte-sur-un-petale,orange mandarin orange lemon mimosa rose musk woodsy notes amber vanilla
jean-paul-gaultier,le-male-essence-de-parfum,cardamom pepper bergamot artemisia leather lavender cinnamon sage vanilla coumarin amberwood musk costus
jean-paul-gaultier,le-male-les-d-ete-2005,bergamot mint ginseng lavender ginger vanilla tonka bean amber musk woody notes
juicy-couture,viva-la-juicy-gold-couture,wild berries gardenia lily of the valley honeysuckle jasmine sambac vanilla orchid caramel vanilla sandalwood praline
juicy-couture,viva-la-juicy-sucre,red currant mandarin orange gardenia almond cream peach orange blossom jasmine whipped cream vanilla cacao sandalwood
lancome,la-vie-est-belle-domaine-de-la-rose,bergamot pink pepper herbal notes grasse rose jasmine sambac patchouli iris gourmand accord amberwood
lancome,parfait-de-roses,pink pepper aldehydes rose grasse rose liquor vanilla benzoin tonka bean orris olibanum
lancome,o-intense,galbanum peach green notes apricot hyacinth bergamot orris root carnation ylang-ylang rose jasmine tuberose lily-of-the-valley oakmoss tonka bean musk cedar amber
lattafa-perfumes,qaa-ed-al-shabaab,osmanthus ylang-ylang leather cedar agarwood (oud) light amber
lattafa-perfumes,hala,pepper nutmeg cedarwood amber incense labdanum
les-parfums-de-rosine,twill-rose,galbanum pink pepper neroli bergamot tangerine rose violet peony caraway patchouli sandalwood musk amber salt palisander rosewood
lorenzo-pazzaglia,incenso-notturno-extrait-de-parfum,elemi resin white pepper lemon peel bergamot patchouli agarwood oud black pepper cinnamon nutmeg damask rose incense ambergris sandal cedar musk vanilla
lorenzo-pazzaglia,dream-sea,watery notes ozonic notes black pepper green notes pink pepper ylang-ylang white flowers spices bulgarian rose vanilla salt ambergris sandalwood cedar
lorenzo-pazzaglia,pax,passionfruit pear citruses grapes pepper incense jasmine magnolia cardamom cassis white musk amber madagascar vanilla leather agarwood (oud)
louis-vuitton,le-jour-se-leve,grapefruit mandarin orange orange bergamot black currant lily-of-the-valley green notes jasmine sambac osmanthus magnolia peony rose white musk iso e super vanillin vanilla
marc-jacobs,marc-jacobs-perfume-essence,spices freesia bergamot gardenia rose orange blossom iris benzoin tolu balsam musk sandalwood cassia
moschino,couture,mandarin orange pepper bergamot pomegranate peony yellow poppy jasmine benzoin vanilla cedar
mugler,angel-sunessence-ocean-d-argent,kumquat sea water floral notes patchouli vanille
narciso-rodriguez,pure-musc-absolu-for-her,ylang-ylang jasmine musk cedar
natura,frescor-de-moca,peach peony green notes raspberry floral notes rose musk sandalwood vanilla
o-boticario,dimitri-redvolution,bergamot mandarin orange black pepper lavender cedar cardamom opoponax amber musk patchouli
o-boticario,cuide-se-bem-boa-noite,bergamot mandarin orange plum pink pepper lavender rose lily-of-the-valley jasmine sweet notes musk cashmeran moss amber
o-boticario,filtro-dos-sonhos,freesia bergamot iris violet lavender marshmallow vanilla sandalwood cedar
o-boticario,jardim-de-misterios,lemon mandarin orange bergamot apple violet leaf musk sandalowood amber cedar
o-boticario,ma-cherie-jeans,mandarin orange ginger green notes bergamot lily-of-the-valley lavender jasmine rose gardenia musk vanilla sandalwood cedar
o-boticario,nativa-spa-guarana-senses,bergamot apple lemon black currant freesia jasmine vanilla sandalwood amber musk cedar
ormonde-jayne,royal-elixir,green notes bergamot orange jasmine amber osmanthus orris rose oil orchid ambroxan patchouli cedar tonka bean musk
paco-rabanne,calandre,aldehydes green notes bergamot rose lily-of-the-valley orris root geranium hyacinth jasmine oakmoss vetiver musk sandalwood amber
paco-rabanne,invictus-victory,pink pepper lemon olibanum lavender vanilla tonka bean amber
rochas,globe,bergamot artemisia lemon coriander cumin fir carnation rose jasmine geranium lily-of-the-valley tagetes thyme leather sandalwood labdanum vetiver musk patchouli cedar
rochas,byzance-edt-2017-edition,aldehydes spices carnation basil lemon cardamom green notes mandarin orange tuberose turkish rose ylang-ylang anise orris root jasmine lily-of-the-valley heliotrope sandalwood vanilla amber cedar musk
roja-dove,enigma-aoud,bergamot peach may rose ylang-ylang geranium heliotrope jasmine neroli vanilla musk sandalwood orris agarwood (oud) ambergris patchouli
roja-dove,harrods-parfum-pour-femme,bergamot anise cherry palmarosa rose de mai magnolia violet tuberose ylang-ylang neroli orange blossom benzoin vanilla sandalwood cashmere wood cypriol oil or nagarmotha pink pepper olibanum ambergris cedar agarwood (oud) musk labdanum leather
roja-dove,semi-bespoke-no-23,oregano thyme basil bergamot rock rose geranium olibanum cloves sandalwood labdanum vanilla pine tree patchouli agarwood (oud) cypriol oil or nagarmotha cedar musk
salvatore-ferragamo,amo-ferragamo-limited-edition,campari black currant rosemary rhubarb mate jasmine sambac tahitian vanilla ambroxan sandalwood
salvatore-ferragamo,emozione-rosa-orientale,saffron cardamom orange blossom rose leather musk vanilla agarwood (oud) patchouli
salvatore-ferragamo,viola-essenziale-2013,neroli litchi tuscan iris orange blossom musk patchouli
swiss-arabian,al-basel,lemon sage praline tolu balsam black cardamom cinnamon patchouli leather brazilian rosewood black amber
tom-ford,sole-di-positano-acqua,mandarin orange lemon leaf petitgrain orange blossom jasmine lily-of-the-valley shiso ylang-ylang moss musk sandalwood
van-cleef-arpels,first-parfum,aldehydes bergamot black currant peach raspberry hyacinth turkish rose carnation ylang-ylang jasmine tuberose orchid orris root civet honey moss sandalwood amber musk vetiver vanilla tonka bean
viktor-rolf,flowerbomb-de-paris,tea bergamot rose orchid jasmine african orange flower freesia musk patchouli
viktor-rolf,flowerbomb-eau-de-toilette,tangerine pink pepper orange freesia osmanthus jasmine rose patchouli cashmere wood amber
viktor-rolf,spicebomb-night-vision-eau-de-parfum,green apple cardamom black pepper chili pepper nutmeg cloves lemon grapefruit lavender mint clary sage rosemary mastic or lentisque coriander pistachio nutty notes balsam fir cedar benzoin peru balsam olibanum patchouli labdanum
xerjoff,uden-overdose,lemon bergamot ginger tobacco blossom amber musk
yves-saint-laurent,elle-limited-edition,peony grapefruit mandarin orange jasmine sambac pink pepper raspberry benzoin crystal amber vetiver
yves-saint-laurent,la-collection-pour-homme,amalfi lemon citruses petitgrain mint oak moss patchouli
zara,zara-powdery-magnolia-2016,litchi bergamot tarragon magnolia rose cedar amber
zara,zara-night-pour-homme-eau-de-parfum,pepper violet leather
zara,nude-bouquet,cherry peony vanilla
zara,red-temptation-elixir-parfum,saffron bitter orange coriander praline jasmine woody notes amber musk
zara,in-st-tropez,citruses pepper bellini olibanum geranium salt woodsy notes
oriflame,lost-in-you-for-him,ginger rhubarb apple tonka bean star anise geranium vanilla sandalwood cypriol oil or nagarmotha
nicki-minaj,onika,pear carambola (star fruit) mandarin orange orchid water lily osmanthus sugar cane white musk cedar
michael-kors,midnight-shimmer,quince jasmine freesia vanilla white woods amberwood peru balsam musk moss
krizia,krazy-krizia,galbanum mandarin orange bergamot basil aldehydes lemon peach green notes carnation jasmine rose lily-of-the-valley amber tonka bean sandalwood vanilla patchouli civet labdanum cedar
histoires-de-parfums,1740-marquis-de-sade,artemisia bergamot patchouli cardamom coriander immortelle leather french labdanum elemi resin birch vanilla virginia cedar
guy-laroche,clandestine,plum aldehydes pineapple cassia bergamot honey tuberose carnation damask rose jasmine ylang-ylang iris heliotrope civet benzoin amber patchouli vanilla musk cedar
granado,musk,lemon bergamot absinthe green leaves orange blossom freesia litchi geranium musk vetiver iris amber
fendi,fantasia-fendi,apricot hiacynth bergamot aldehydes orchid rose lily-of-the-valley jasmine vanilla sandalwood tonka bean oakmoss
esika,magnat-imperium,pineapple bergamot hivernal® cypress rum geranium iris sandalwood clearwood cedar amber
coty,complice,aldehydes african orange flower bergamot peach spices lily-of-the-valley rose lilac narcissus orris root carnation oak moss vetiver musk benzoin civetta sandalwood
coty,l-origan,coriander orange pepper peach bergamot spices nutmeg african orange flower violet ylang-ylang rose jasmine benzoin coumarin incense sandalwood vanilla civetta virginia cedar musk
carven,paris-sao-paulo,cinnamon rum bergamot cardamom orange blossom labdanum vanilla tonka bean patchouli
carven,paris-la-havane,black pepper elemi resin mandarin orange tobacco lavender rose leather amber patchouli
antonio-banderas,her-secret-kiss,raspberry bergamot black currant rose pink pepper lily-of-the-valley musk patchouli vanilla woodsy notes
